Date,Method,Alpha Group,Mint/NFT Cost (ETH),Mint/NFT Cost ($),Gas Fee (ETH),Listing Fee Total (ETH),Cost of Trade (ETH),Sell Price (ETH),OS Fee,Royalty Fee,Total Fees (ETH),Profit/Loss (ETH) ,Wallet,Transfer
2022-01-02,Mint,NP,0.069,261.55,0.0099,0.0305,0.1094,0.114,0.025,0.035,0.0473,-0.0023,Main,NO
2022-01-02,Mint,NP,0.069,261.55,0.0099,0.0,0.0789,0.123,0.025,0.035,0.0173,0.0367,Main,NO
2022-01-02,Mint,NP,0.02,24.35,0.003,0.0009,0.0238,0.073,0.025,0.05,0.0093,0.0437,Main,NO
2022-01-02,Mint,NP,0.02,24.35,0.003,0.0,0.023,0.119,0.025,0.05,0.0119,0.0871,Main,NO
2022-01-02,Mint,TW,0.0,0.00,0.0019,0.001,0.0029,0.0,0.025,0.0,0.0029,-0.0029,Main,Transfer Sent
2022-01-02,Secondary,NP,0.025,30.35,0.0041,0.0008,0.0299,0.048,0.025,0.0,0.0061,0.0169,Main,NO
2022-01-02,Mint,WP,0.05,60.89,0.0008,0.0011,0.0518,0.078,0.025,0.0,0.0038,0.0242,Ledger,NO
2022-01-02,Mint,WP,0.05,60.89,0.0008,0.0,0.0508,0.089,0.025,0.0,0.003,0.036,Ledger,NO
2022-01-02,Mint,WP,0.0,0.00,0.0021,0.0,0.0021,0.0,0.025,0.069,0.0021,-0.0021,Ledger,NO
2022-01-02,Mint,TW,0.0,0.00,0.0019,0.001,0.0029,0.0,0.025,0.0,0.0029,-0.0029,Ledger,Transfer Received
2022-01-02,Mint,TW,0.0,0.00,0.0018,0.0007,0.0025,0.0,0.025,0.0,0.0025,-0.0025,Ledger,Transfer Received
2022-01-02,Mint,TW,0.0,0.00,0.0018,0.0007,0.0025,0.0,0.025,0.0,0.0025,-0.0025,Burner,NO
2022-01-03,Mint,AS,0.0,0.00,0.0028,0.0,0.0028,0.0,0.025,0.075,0.0028,-0.0028,Main,NO
2022-01-03,Mint,WP,0.0066,7.99,0.0022,0.001,0.0098,0.0134,0.025,0.0,0.0035,0.0033,Main,NO
2022-01-03,Mint,NP,0.0,0.00,0.002,0.0,0.002,0.0,0.025,0.1,0.002,-0.002,Ledger,NO
2022-01-03,Mint,AS,0.0,0.00,0.0033,0.0,0.0033,0.0,0.025,0.075,0.0033,-0.0033,Burner,NO
2022-01-04,Mint,WP,0.0071,8.95,0.0034,0.0014,0.0119,0.028,0.025,0.0,0.0055,0.0154,Main,NO
2022-01-04,Mint,WP,0.0071,8.95,0.0034,0.0,0.0105,0.048,0.025,0.0,0.0046,0.0363,Main,NO
2022-01-04,Mint,WP,0.0071,8.95,0.0034,0.0,0.0105,0.072,0.025,0.0,0.0052,0.0597,Main,NO
2022-01-04,Mint,WP,0.0071,8.95,0.0034,0.0,0.0105,0.093,0.025,0.0,0.0057,0.0801,Main,NO
2022-01-04,Mint,NP,0.003,3.77,0.0006,0.0011,0.0047,0.0,0.025,0.07,0.0017,-0.0047,Ledger,NO
2022-01-04,Mint,NP,0.003,3.77,0.0006,0.0,0.0036,0.0,0.025,0.07,0.0006,-0.0036,Ledger,NO
2022-01-04,Mint,NP,0.003,3.77,0.0006,0.0,0.0036,0.0,0.025,0.07,0.0006,-0.0036,Ledger,NO
2022-01-04,Mint,NP,0.003,3.77,0.0006,0.0,0.0036,0.0,0.025,0.07,0.0006,-0.0036,Ledger,NO
2022-01-04,Secondary,WP,0.0007,0.86,0.003,0.0,0.002,0.0,0.025,0.1,0.002,-0.002,Ledger,NO
2022-01-05,Secondary,NP,0.257,321.73,0.0034,0.001,0.2614,0.0,0.025,0.005,0.0044,-0.2614,Main,NO
2022-01-05,Mint,WP,0.006,7.49,0.0016,0.0,0.0076,0.0,0.025,0.0,0.0016,-0.0076,Ledger,NO
2022-01-05,Mint,WP,0.006,7.49,0.0016,0.0,0.0076,0.0,0.025,0.0,0.0016,-0.0076,Ledger,NO
2022-01-05,Secondary,WP,0.0072,8.98,0.0045,0.0,0.002,0.0,0.025,0.1,0.002,-0.002,Ledger,NO
2022-01-05,Secondary,WP,0.0,0.00,0.0032,0.0014,0.002,0.0,0.025,0.1,0.002,-0.002,Ledger,NO
2022-01-06,Mint,WP,0.08,101.27,0.005,0.0009,0.086,0.249,0.025,0.025,0.0184,0.1506,Main,NO
2022-01-07,Mint,MK,0.044,55.66,0.0011,0.0011,0.0462,0.0,0.025,0.1,0.0022,-0.0462,Main,Transfer Sent
2022-01-07,Mint,MK,0.044,55.66,0.0011,0.0007,0.0458,0.0,0.025,0.1,0.0018,-0.0458,Main,NO
2022-01-07,Mint,MK,0.044,55.66,0.0011,0.0011,0.0462,0.0,0.025,0.1,0.0022,-0.0462,Ledger,Transfer Received
2022-01-07,Mint,MK,0.044,55.66,0.0011,0.0007,0.0458,0.0,0.025,0.1,0.0018,-0.0458,Ledger,Transfer Received
2022-01-09,Mint,NP,0.15,475.91,0.0129,0.01,0.1729,0.169,0.025,0.1,0.044,-0.025,Main,NO
2022-01-09,Mint,NP,0.15,475.91,0.0129,0.0,0.1629,0.178,0.025,0.1,0.0351,-0.0071,Main,NO
2022-01-09,Mint,WP,0.1181,156.65,0.0036,0.0,0.1217,0.0,0.025,0.1,0.0036,-0.1217,Ledger,NO
2022-01-10,Secondary,NP,0.1,120.04,0.0,0.0008,0.1008,0.0,0.025,0.0,0.0008,-0.1008,Ledger,NO
2022-01-10,Mint,NP,0.2,614.74,0.0256,0.0,0.2256,0.299,0.025,0.075,0.0555,0.0435,Main,NO
2022-01-10,Mint,TW,0.044,58.49,0.0033,0.0016,0.0489,0.065,0.025,0.05,0.0097,0.0113,Main,NO
